result_id,model_id,horiz,XM,YM,phiM,serM,tserM,d_type,dM,d_std_dev,a_type,aM,a_std_dev,c_blr,c_ser,c_Z,c_L,cost,av_blr,av_dr,av_ser,total_clients,count
nd_os_20_25_1_6_10_9_2_0,nd_os,20,6,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,304.5154921921702,0.7563720638137589,7.85,1.9666666666666666,40.333333333333336,0.0
nd_om_20_25_1_6_10_9_2_0,nd_om,20,6,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,300.02944842000574,0.7450736210500144,7.816666666666666,2.0,41.0,0.0
nd_os_20_25_1_6_10_9_3_0,nd_os,20,6,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,265.1668647576922,0.6555421618942305,6.866666666666666,2.95,60.0,0.0
nd_om_20_25_1_6_10_9_3_0,nd_om,20,6,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,260.29778317667086,0.6432444579416772,6.816666666666666,3.0,61.0,0.0
nd_os_20_25_1_6_10_9_5_0,nd_os,20,6,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,198.3788816624237,0.483738870822726,4.966666666666667,4.883333333333334,98.66666666666667,0.0
nd_om_20_25_1_6_10_9_5_0,nd_om,20,6,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,187.9695257318072,0.4574654809961847,4.85,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_6_10_9_7_0,nd_os,20,6,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,147.3891906978525,0.35330631007796465,3.75,6.066666666666666,122.33333333333333,0.0
nd_om_20_25_1_6_10_9_7_0,nd_om,20,6,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,137.3063957816228,0.3273493227873903,3.466666666666667,6.366666666666666,128.33333333333334,0.0
nd_os_20_25_1_6_10_9_9_0,nd_os,20,6,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,136.3506931294613,0.32512673282365323,3.5166666666666666,6.3,127.0,0.0
nd_om_20_25_1_6_10_9_9_0,nd_om,20,6,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,130.9047621475675,0.3108452387022521,3.433333333333333,6.566666666666666,132.33333333333334,0.0
nd_os_20_25_1_9_10_9_2_0,nd_os,20,9,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,300.1425003444062,0.7455229175276822,7.733333333333333,1.9333333333333333,39.666666666666664,0.0
nd_om_20_25_1_9_10_9_2_0,nd_om,20,9,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,292.50922832509633,0.7262730708127408,7.666666666666667,2.0,41.0,0.0
nd_os_20_25_1_9_10_9_3_0,nd_os,20,9,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,264.46744604687416,0.6539186151171854,6.766666666666667,2.9,59.0,0.0
nd_om_20_25_1_9_10_9_3_0,nd_om,20,9,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,253.4068222324845,0.6260170555812112,6.666666666666667,3.0,61.0,0.0
nd_os_20_25_1_9_10_9_5_0,nd_os,20,9,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,195.63878817881843,0.4770136371137127,4.866666666666666,4.833333333333333,97.66666666666667,0.0
nd_om_20_25_1_9_10_9_5_0,nd_om,20,9,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,180.3844174529282,0.43850271029898724,4.7,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_9_10_9_7_0,nd_os,20,9,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,149.31211462063112,0.3584469532182445,3.7333333333333334,5.933333333333334,119.66666666666667,0.0
nd_om_20_25_1_9_10_9_7_0,nd_om,20,9,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,135.33843279972803,0.32247108199932006,3.433333333333333,6.35,128.0,0.0
nd_os_20_25_1_9_10_9_9_0,nd_os,20,9,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,138.01476099796915,0.32966190249492283,3.5166666666666666,6.15,124.0,0.0
nd_om_20_25_1_9_10_9_9_0,nd_om,20,9,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,130.9047621475675,0.3108452387022521,3.433333333333333,6.566666666666666,132.33333333333334,0.0
nd_os_20_25_1_12_10_9_2_0,nd_os,20,12,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,295.56023907553805,0.7340672643555118,7.583333333333333,1.9333333333333333,39.666666666666664,0.0
nd_om_20_25_1_12_10_9_2_0,nd_om,20,12,10,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,287.30573696628977,0.7132643424157245,7.516666666666667,2.0,41.0,0.0
nd_os_20_25_1_12_10_9_3_0,nd_os,20,12,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,257.95418957485674,0.6376354739371418,6.616666666666666,2.9,59.0,0.0
nd_om_20_25_1_12_10_9_3_0,nd_om,20,12,10,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,246.60802610507668,0.6090200652626917,6.516666666666667,3.0,61.0,0.0
nd_os_20_25_1_12_10_9_5_0,nd_os,20,12,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,189.70299224132614,0.462174147269982,4.716666666666667,4.833333333333333,97.66666666666667,0.0
nd_om_20_25_1_12_10_9_5_0,nd_om,20,12,10,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,174.83398639914338,0.42462663266452516,4.55,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_12_10_9_7_0,nd_os,20,12,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,146.22156096715878,0.35088723575123026,3.65,5.866666666666666,118.33333333333333,0.0
nd_om_20_25_1_12_10_9_7_0,nd_om,20,12,10,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,135.33350163294853,0.32250042074903795,3.433333333333333,6.333333333333333,127.66666666666667,0.0
nd_os_20_25_1_12_10_9_9_0,nd_os,20,12,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,138.2920634989188,0.3306884920806303,3.5,6.016666666666667,121.33333333333333,0.0
nd_om_20_25_1_12_10_9_9_0,nd_om,20,12,10,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,130.9047621475675,0.3108452387022521,3.433333333333333,6.566666666666666,132.33333333333334,0.0
nd_os_20_25_1_6_15_9_2_0,nd_os,20,6,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,300.03099051863273,0.7453274762965819,7.666666666666667,1.9,39.0,0.0
nd_om_20_25_1_6_15_9_2_0,nd_om,20,6,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,287.5206406946111,0.7138016017365277,7.566666666666666,2.0,41.0,0.0
nd_os_20_25_1_6_15_9_3_0,nd_os,20,6,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,265.6801967988768,0.657075491997192,6.716666666666667,2.85,58.0,0.0
nd_om_20_25_1_6_15_9_3_0,nd_om,20,6,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,247.32417589630523,0.6108104397407631,6.566666666666666,3.0,61.0,0.0
nd_os_20_25_1_6_15_9_5_0,nd_os,20,6,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,198.90361282144238,0.485384032053606,4.85,4.75,96.0,0.0
nd_om_20_25_1_6_15_9_5_0,nd_om,20,6,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,170.14317225677198,0.41289959730859666,4.6,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_6_15_9_7_0,nd_os,20,6,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,140.95918625485783,0.33723129897047793,3.5,6.066666666666666,122.33333333333333,0.0
nd_om_20_25_1_6_15_9_7_0,nd_om,20,6,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,107.77320637364338,0.25251634926744176,2.8,6.766666666666667,136.33333333333334,0.0
nd_os_20_25_1_6_15_9_9_0,nd_os,20,6,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,116.42387018541915,0.2745180087968812,2.95,6.616666666666666,133.33333333333334,0.0
nd_om_20_25_1_6_15_9_9_0,nd_om,20,6,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,93.55886286837205,0.21560549050426345,2.3833333333333333,7.316666666666666,147.33333333333334,0.0
nd_os_20_25_1_9_15_9_2_0,nd_os,20,9,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,295.31060843624823,0.7335265210906207,7.516666666666667,1.9,39.0,0.0
nd_om_20_25_1_9_15_9_2_0,nd_om,20,9,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,281.25510330568017,0.6981377582642004,7.416666666666667,2.0,41.0,0.0
nd_os_20_25_1_9_15_9_3_0,nd_os,20,9,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,259.0542356256981,0.6405105890642452,6.566666666666666,2.85,58.0,0.0
nd_om_20_25_1_9_15_9_3_0,nd_om,20,9,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,238.39633903683108,0.5884908475920777,6.416666666666667,3.0,61.0,0.0
nd_os_20_25_1_9_15_9_5_0,nd_os,20,9,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,189.8724770666063,0.46280619266651574,4.7,4.75,96.0,0.0
nd_om_20_25_1_9_15_9_5_0,nd_om,20,9,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,162.50943433774623,0.3938152525110323,4.45,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_9_15_9_7_0,nd_os,20,9,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,133.82733420774252,0.31948500218602294,3.3833333333333333,6.033333333333333,121.66666666666667,0.0
nd_om_20_25_1_9_15_9_7_0,nd_om,20,9,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,103.32997108037067,0.24144992770092666,2.6666666666666665,6.75,136.0,0.0
nd_os_20_25_1_9_15_9_9_0,nd_os,20,9,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,117.33579384840625,0.27717281795434895,2.95,6.466666666666667,130.33333333333334,0.0
nd_om_20_25_1_9_15_9_9_0,nd_om,20,9,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,93.55159690675825,0.21562899226689564,2.3833333333333333,7.3,147.0,0.0
nd_os_20_25_1_12_15_9_2_0,nd_os,20,12,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,289.0863309461997,0.7179658273654993,7.366666666666666,1.9,39.0,0.0
nd_om_20_25_1_12_15_9_2_0,nd_om,20,12,15,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,271.95187185934435,0.6748796796483609,7.266666666666667,2.0,41.0,0.0
nd_os_20_25_1_12_15_9_3_0,nd_os,20,12,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,250.61664576848358,0.619416614421209,6.416666666666667,2.85,58.0,0.0
nd_om_20_25_1_12_15_9_3_0,nd_om,20,12,15,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,230.294593885398,0.568236484713495,6.266666666666667,3.0,61.0,0.0
nd_os_20_25_1_12_15_9_5_0,nd_os,20,12,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,183.04006860283874,0.4457251715070969,4.55,4.75,96.0,0.0
nd_om_20_25_1_12_15_9_5_0,nd_om,20,12,15,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,164.5393138151717,0.39888995120459597,4.366666666666666,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_12_15_9_7_0,nd_os,20,12,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,131.27796489175608,0.3131949122293902,3.2666666666666666,6.0,121.0,0.0
nd_om_20_25_1_12_15_9_7_0,nd_om,20,12,15,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,101.85489651052818,0.2378039079429871,2.566666666666667,6.733333333333333,135.66666666666666,0.0
nd_os_20_25_1_12_15_9_9_0,nd_os,20,12,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,117.66037453523315,0.27831760300474956,2.933333333333333,6.333333333333333,127.66666666666667,0.0
nd_om_20_25_1_12_15_9_9_0,nd_om,20,12,15,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,93.55159690675825,0.21562899226689564,2.3833333333333333,7.3,147.0,0.0
nd_os_20_25_1_6_20_9_2_0,nd_os,20,6,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,291.17702878610123,0.7231925719652531,7.416666666666667,1.9,39.0,0.0
nd_om_20_25_1_6_20_9_2_0,nd_om,20,6,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,275.59182125570396,0.68397955313926,7.316666666666666,2.0,41.0,0.0
nd_os_20_25_1_6_20_9_3_0,nd_os,20,6,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,253.29569680762393,0.6261142420190599,6.466666666666667,2.85,58.0,0.0
nd_om_20_25_1_6_20_9_3_0,nd_om,20,6,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,232.07477830409925,0.5726869457602481,6.316666666666666,3.0,61.0,0.0
nd_os_20_25_1_6_20_9_5_0,nd_os,20,6,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,180.31492666403213,0.43891231666008035,4.6,4.75,96.0,0.0
nd_om_20_25_1_6_20_9_5_0,nd_om,20,6,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,155.05422119046463,0.37517721964282824,4.35,4.983333333333333,100.66666666666667,0.0
nd_os_20_25_1_6_20_9_7_0,nd_os,20,6,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,122.75699735422644,0.2918091600522328,3.283333333333333,6.033333333333333,121.66666666666667,0.0
nd_om_20_25_1_6_20_9_7_0,nd_om,20,6,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,89.1407198118677,0.20568513286300258,2.45,6.866666666666666,138.33333333333334,0.0
nd_os_20_25_1_6_20_9_9_0,nd_os,20,6,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,103.18467623530309,0.24167002392159107,2.8,6.516666666666667,131.33333333333334,0.0
nd_om_20_25_1_6_20_9_9_0,nd_om,20,6,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,69.48768448503368,0.15471921121258422,1.8166666666666667,7.6,153.0,0.0
nd_os_20_25_1_9_20_9_2_0,nd_os,20,9,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,281.2100973602698,0.6982752434006746,7.266666666666667,1.9,39.0,0.0
nd_om_20_25_1_9_20_9_2_0,nd_om,20,9,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,266.4751271835182,0.6611878179587956,7.166666666666667,2.0,41.0,0.0
nd_os_20_25_1_9_20_9_3_0,nd_os,20,9,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,244.11145067777053,0.603195293361093,6.333333333333333,2.8333333333333335,57.666666666666664,0.0
nd_om_20_25_1_9_20_9_3_0,nd_om,20,9,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,224.32374262032332,0.5533093565508083,6.166666666666667,3.0,61.0,0.0
nd_os_20_25_1_9_20_9_5_0,nd_os,20,9,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,175.03560558129985,0.42583901395324963,4.5,4.7,95.0,0.0
nd_om_20_25_1_9_20_9_5_0,nd_om,20,9,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,146.83124131203547,0.35466143661342203,4.2,4.966666666666667,100.33333333333333,0.0
nd_os_20_25_1_9_20_9_7_0,nd_os,20,9,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,121.18585086578103,0.2880896271644526,3.216666666666667,5.95,120.0,0.0
nd_om_20_25_1_9_20_9_7_0,nd_om,20,9,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,83.39410597139809,0.19131859826182857,2.3,6.866666666666666,138.33333333333334,0.0
nd_os_20_25_1_9_20_9_9_0,nd_os,20,9,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,106.29335457648534,0.24990005310788002,2.8333333333333335,6.333333333333333,127.66666666666667,0.0
nd_om_20_25_1_9_20_9_9_0,nd_om,20,9,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,69.5567859812035,0.15505863161967542,1.8166666666666667,7.533333333333333,151.66666666666666,0.0
nd_os_20_25_1_12_20_9_2_0,nd_os,20,12,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,277.0505320334158,0.6879596634168728,7.15,1.8666666666666667,38.333333333333336,0.0
nd_om_20_25_1_12_20_9_2_0,nd_om,20,12,20,9,2,0,uniform,25,0,uniform,1,0,400,1,0,0,260.0830761685223,0.6452076904213059,7.016666666666667,2.0,41.0,0.0
nd_os_20_25_1_12_20_9_3_0,nd_os,20,12,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,239.33829526216078,0.5913457381554019,6.216666666666667,2.8,57.0,0.0
nd_om_20_25_1_12_20_9_3_0,nd_om,20,12,20,9,3,0,uniform,25,0,uniform,1,0,400,1,0,0,217.52895167296768,0.5363223791824192,6.016666666666667,3.0,61.0,0.0
nd_os_20_25_1_12_20_9_5_0,nd_os,20,12,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,170.42221466956266,0.41438887000724,4.383333333333334,4.666666666666667,94.33333333333333,0.0
nd_om_20_25_1_12_20_9_5_0,nd_om,20,12,20,9,5,0,uniform,25,0,uniform,1,0,400,1,0,0,138.6692835417592,0.3342565421877313,4.05,4.966666666666667,100.33333333333333,0.0
nd_os_20_25_1_12_20_9_7_0,nd_os,20,12,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,121.1441997281155,0.2881938326536221,3.15,5.866666666666666,118.33333333333333,0.0
nd_om_20_25_1_12_20_9_7_0,nd_om,20,12,20,9,7,0,uniform,25,0,uniform,1,0,400,1,0,0,79.61173861997051,0.18186267988325963,2.15,6.866666666666666,138.33333333333334,0.0
nd_os_20_25_1_12_20_9_9_0,nd_os,20,12,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,106.59037704791689,0.2509759426197922,2.816666666666667,6.2,125.0,0.0
nd_om_20_25_1_12_20_9_9_0,nd_om,20,12,20,9,9,0,uniform,25,0,uniform,1,0,400,1,0,0,69.45690383727563,0.1551005929265224,1.8166666666666667,7.416666666666667,149.33333333333334,0.0
nd_os_20_20_1_6_10_9_2_0,nd_os,20,6,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,307.0329260438086,0.7626656484428549,7.466666666666667,1.9666666666666666,40.333333333333336,0.0
nd_om_20_20_1_6_10_9_2_0,nd_om,20,6,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,302.6831505924416,0.751707876481104,7.433333333333334,2.0,41.0,0.0
nd_os_20_20_1_6_10_9_3_0,nd_os,20,6,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,268.01521649830653,0.6626630412457664,6.5,2.95,60.0,0.0
nd_om_20_20_1_6_10_9_3_0,nd_om,20,6,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,261.4918857349392,0.6462297143373481,6.45,3.0,61.0,0.0
nd_os_20_20_1_6_10_9_5_0,nd_os,20,6,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,193.17971032474333,0.4706992758118583,4.6,4.9,99.0,0.0
nd_om_20_20_1_6_10_9_5_0,nd_om,20,6,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,184.82454115536035,0.4496030195550676,4.516666666666667,4.983333333333333,100.66666666666667,0.0
nd_os_20_20_1_6_10_9_7_0,nd_os,20,6,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,138.94691817754367,0.3316589621105258,3.1333333333333333,6.283333333333333,126.66666666666667,0.0
nd_om_20_20_1_6_10_9_7_0,nd_om,20,6,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,131.16091101735128,0.31144394421004484,2.9,6.583333333333333,132.66666666666666,0.0
nd_os_20_20_1_6_10_9_9_0,nd_os,20,6,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,124.8934175928044,0.29552521064867765,2.7333333333333334,6.683333333333334,134.66666666666666,0.0
nd_om_20_20_1_6_10_9_9_0,nd_om,20,6,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,121.66065701810079,0.28681830921191864,2.65,6.933333333333334,139.66666666666666,0.0
nd_os_20_20_1_9_10_9_2_0,nd_os,20,9,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,299.7270164092918,0.7444008743565629,7.316666666666666,1.9666666666666666,40.333333333333336,0.0
nd_om_20_20_1_9_10_9_2_0,nd_om,20,9,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,295.21853407318537,0.7330463351829634,7.283333333333333,2.0,41.0,0.0
nd_os_20_20_1_9_10_9_3_0,nd_os,20,9,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,259.5678918723752,0.641544729680938,6.35,2.95,60.0,0.0
nd_om_20_20_1_9_10_9_3_0,nd_om,20,9,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,254.20866489916628,0.6280216622479157,6.3,3.0,61.0,0.0
nd_os_20_20_1_9_10_9_5_0,nd_os,20,9,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,184.01352346860725,0.4477838086715181,4.45,4.9,99.0,0.0
nd_om_20_20_1_9_10_9_5_0,nd_om,20,9,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,176.62645608721334,0.4292328068847,4.366666666666666,4.933333333333334,99.66666666666667,0.0
nd_os_20_20_1_9_10_9_7_0,nd_os,20,9,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,137.23236916191257,0.3276225895714481,3.0833333333333335,6.183333333333334,124.66666666666667,0.0
nd_om_20_20_1_9_10_9_7_0,nd_om,20,9,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,129.4892149708133,0.30730637076036654,2.783333333333333,6.566666666666666,132.33333333333334,0.0
nd_os_20_20_1_9_10_9_9_0,nd_os,20,9,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,125.58302620054599,0.29762423216803163,2.7333333333333334,6.533333333333333,131.66666666666666,0.0
nd_om_20_20_1_9_10_9_9_0,nd_om,20,9,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,121.64828667199313,0.2868707166799828,2.65,6.9,139.0,0.0
nd_os_20_20_1_12_10_9_2_0,nd_os,20,12,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,294.1463201194809,0.7304491336320357,7.166666666666667,1.9666666666666666,40.333333333333336,0.0
nd_om_20_20_1_12_10_9_2_0,nd_om,20,12,10,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,290.0311861110154,0.7200779652775385,7.133333333333334,2.0,41.0,0.0
nd_os_20_20_1_12_10_9_3_0,nd_os,20,12,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,252.54394775919346,0.6239848693979837,6.2,2.95,60.0,0.0
nd_om_20_20_1_12_10_9_3_0,nd_om,20,12,10,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,246.77479361532698,0.6094369840383175,6.15,3.0,61.0,0.0
nd_os_20_20_1_12_10_9_5_0,nd_os,20,12,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,177.61662000345189,0.4317915500086297,4.3,4.9,99.0,0.0
nd_om_20_20_1_12_10_9_5_0,nd_om,20,12,10,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,170.9169253311385,0.41491731332784626,4.216666666666667,4.95,100.0,0.0
nd_os_20_20_1_12_10_9_7_0,nd_os,20,12,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,135.57816067968582,0.32365373503254785,3.0,6.116666666666666,123.33333333333333,0.0
nd_om_20_20_1_12_10_9_7_0,nd_om,20,12,10,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,128.52994135807032,0.3049081867285091,2.683333333333333,6.566666666666666,132.33333333333334,0.0
nd_os_20_20_1_12_10_9_9_0,nd_os,20,12,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,125.92531029486112,0.2988132757371528,2.716666666666667,6.4,129.0,0.0
nd_om_20_20_1_12_10_9_9_0,nd_om,20,12,10,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,121.64828667199313,0.2868707166799828,2.65,6.9,139.0,0.0
nd_os_20_20_1_6_15_9_2_0,nd_os,20,6,15,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,296.20261928071716,0.7356732148684596,7.25,1.9333333333333333,39.666666666666664,0.0
nd_om_20_20_1_6_15_9_2_0,nd_om,20,6,15,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,287.9351744929603,0.7148379362324008,7.183333333333334,2.0,41.0,0.0
nd_os_20_20_1_6_15_9_3_0,nd_os,20,6,15,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,257.1280882243934,0.6355702205609836,6.3,2.9,59.0,0.0
nd_om_20_20_1_6_15_9_3_0,nd_om,20,6,15,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,245.09113616231926,0.6052278404057981,6.2,3.0,61.0,0.0
nd_os_20_20_1_6_15_9_5_0,nd_os,20,6,15,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,184.7057740437408,0.4497227684426854,4.45,4.816666666666666,97.33333333333333,0.0
nd_om_20_20_1_6_15_9_5_0,nd_om,20,6,15,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,164.581925727729,0.3991214809859891,4.266666666666667,4.933333333333334,99.66666666666667,0.0
nd_os_20_20_1_6_15_9_7_0,nd_os,20,6,15,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,125.65703005974427,0.29830924181602736,2.8333333333333335,6.333333333333333,127.66666666666667,0.0
nd_om_20_20_1_6_15_9_7_0,nd_om,20,6,15,9,7,0,uniform,20,0,uniform,1,0,400,1,0,0,101.84018262472459,0.23772545656181146,2.4833333333333334,6.75,136.0,0.0
nd_os_20_20_1_6_15_9_9_0,nd_os,20,6,15,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,104.17214434709217,0.2433470275343971,2.3333333333333335,6.833333333333333,137.66666666666666,0.0
nd_om_20_20_1_6_15_9_9_0,nd_om,20,6,15,9,9,0,uniform,20,0,uniform,1,0,400,1,0,0,88.24168710930493,0.20214588443992898,1.9666666666666666,7.383333333333334,148.66666666666666,0.0
nd_os_20_20_1_9_15_9_2_0,nd_os,20,9,15,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,290.7461546262188,0.7220737198988804,7.116666666666666,1.9166666666666667,39.333333333333336,0.0
nd_om_20_20_1_9_15_9_2_0,nd_om,20,9,15,9,2,0,uniform,20,0,uniform,1,0,400,1,0,0,279.1138572824917,0.6927846432062293,7.033333333333333,2.0,41.0,0.0
nd_os_20_20_1_9_15_9_3_0,nd_os,20,9,15,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,253.19002645140725,0.6258083994618514,6.183333333333334,2.8666666666666667,58.333333333333336,0.0
nd_om_20_20_1_9_15_9_3_0,nd_om,20,9,15,9,3,0,uniform,20,0,uniform,1,0,400,1,0,0,234.9642393489436,0.579910598372359,6.05,3.0,61.0,0.0
nd_os_20_20_1_9_15_9_5_0,nd_os,20,9,15,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,180.47851160003862,0.4392796123334298,4.35,4.766666666666667,96.33333333333333,0.0
nd_om_20_20_1_9_15_9_5_0,nd_om,20,9,15,9,5,0,uniform,20,0,uniform,1,0,400,1,0,0,155.18081405300694,0.3755770351325174,4.116666666666666,4.95,100.0,0.0
